city,state_id,state_name,county_name,zip,lat,lng,population
Dunseith,ND,North Dakota,Rolette,58329,48.8130569,-100.0609678,773
Mylo,ND,North Dakota,Rolette,58353,48.6352785,-99.6187555,20
Antler,ND,North Dakota,Bottineau,58711,48.9708532,-101.2823803,27
Bottineau,ND,North Dakota,Bottineau,58318,48.8272301,-100.4456984,2211
Gardena,ND,North Dakota,Bottineau,58318 58748,48.700837,-100.4976393,29
Kramer,ND,North Dakota,Bottineau,58748,48.690565,-100.7068093,29
Landa,ND,North Dakota,Bottineau,58783,48.8966855,-100.9118208,38
Lansford,ND,North Dakota,Bottineau,58750,48.628909,-101.3757158,245
Maxbass,ND,North Dakota,Bottineau,58760,48.7216878,-101.1415464,84
Newburg,ND,North Dakota,Bottineau,58762,48.7150177,-100.9129293,110
Overly,ND,North Dakota,Bottineau,58384,48.6819437,-100.150136,18
Canton City,ND,North Dakota,Pembina,58241,48.6878745,-97.6676696,45
Crystal,ND,North Dakota,Pembina,58222,48.5969371,-97.6695334,138
Drayton,ND,North Dakota,Pembina,58225,48.5710958,-97.1778485,824
Hamilton,ND,North Dakota,Pembina,58238,48.8086008,-97.4528587,61
Mountain,ND,North Dakota,Pembina,58262,48.6877719,-97.8650966,92
Neche,ND,North Dakota,Pembina,58265,48.9861027,-97.5548,371
Pembina,ND,North Dakota,Pembina,58271,48.9663766,-97.2436761,592
Cando,ND,North Dakota,Towner,58324,48.4866682,-99.2098593,1115
Egeland,ND,North Dakota,Towner,58331,48.6263945,-99.0973586,28
Hansboro,ND,North Dakota,Towner,58365 58339,48.9500078,-99.3829145,12
Perth,ND,North Dakota,Towner,58363,48.7163932,-99.4579209,9
Rocklake,ND,North Dakota,Towner,58365,48.7901657,-99.2460844,101
Alsen,ND,North Dakota,Cavalier,58311 58352 58338,48.6305626,-98.7048488,35
Calio,ND,North Dakota,Cavalier,58352,48.6311182,-98.9329109,22
Calvin,ND,North Dakota,Cavalier,58323,48.8525068,-98.9354078,20
Hannah,ND,North Dakota,Cavalier,58239,48.9716708,-98.6917884,15
Langdon,ND,North Dakota,Cavalier,58249,48.7600007,-98.3681728,1878
Loma,ND,North Dakota,Cavalier,58311,48.6302832,-98.5328984,16
Milton,ND,North Dakota,Cavalier,58260,48.6263838,-98.0426017,58
Munich,ND,North Dakota,Cavalier,58352,48.669174,-98.8326307,210
Nekoma,ND,North Dakota,Cavalier,58355,48.5772245,-98.370392,50
Osnabrock,ND,North Dakota,Cavalier,58269,48.6688857,-98.1512186,134
Ambrose,ND,North Dakota,Divide,58833,48.9539222,-103.4826921,26
Crosby,ND,North Dakota,Divide,58730,48.9141998,-103.2949095,1070
Fortuna,ND,North Dakota,Divide,58844,48.9100315,-103.7793697,22
Noonan,ND,North Dakota,Divide,58765,48.8889194,-103.0087936,121
Bowbells,ND,North Dakota,Burke,58721,48.8030833,-102.2460008,336
Flaxton,ND,North Dakota,Burke,58737,48.8986389,-102.3923913,66
Lignite,ND,North Dakota,Burke,58752,48.8775322,-102.5629488,155
Portal,ND,North Dakota,Burke,58772 58737,48.9958637,-102.5496127,126
Powers Lake,ND,North Dakota,Burke,58773,48.5628042,-102.6479573,280
Glenburn,ND,North Dakota,Renville,58740,48.5130744,-101.2207138,380
Grano,ND,North Dakota,Renville,58750,48.6150203,-101.5865506,7
Loraine,ND,North Dakota,Renville,58761,48.8655766,-101.5679389,9
Mohall,ND,North Dakota,Renville,58761,48.7633556,-101.5132169,783
Burlington,ND,North Dakota,Ward,58722,48.2752881,-101.4287751,1060
Carpio,ND,North Dakota,Ward,58725,48.4425171,-101.7146064,157
Des Lacs,ND,North Dakota,Ward,58733,48.257788,-101.5634984,204
Donnybrook,ND,North Dakota,Ward,58734,48.509465,-101.8851618,59
Douglas,ND,North Dakota,Ward,58735,47.8572261,-101.5029412,64
Kenmare,ND,North Dakota,Ward,58746,48.6747476,-102.0826636,1096
Makoti,ND,North Dakota,Ward,58756,47.9611214,-101.8046105,154
Minot,ND,North Dakota,Ward,58707 58703 58702 58701,48.2325095,-101.2962732,40888
Alamo,ND,North Dakota,Williams,58830,48.5816949,-103.4699122,57
Epping,ND,North Dakota,Williams,58843,48.2791887,-103.3571326,100
Grenora,ND,North Dakota,Williams,58845,48.6183606,-103.9379866,244
Ray,ND,North Dakota,Williams,58849,48.3444663,-103.1651845,592
Anamoose,ND,North Dakota,McHenry,58710,47.8825008,-100.241246,227
Upham,ND,North Dakota,McHenry,58789,48.5816728,-100.7281937,130
Velva,ND,North Dakota,McHenry,58790,48.0561196,-100.929317,1084
Voltaire,ND,North Dakota,McHenry,58792,48.0205632,-100.8415372,40
Deering,ND,North Dakota,McHenry,58731,48.3955721,-101.0518201,98
Drake,ND,North Dakota,McHenry,58736,47.9241692,-100.3723605,275
Granville,ND,North Dakota,McHenry,58741,48.2677874,-100.8426438,241
Karlsruhe,ND,North Dakota,McHenry,58744,48.0900056,-100.6204201,82
Kief,ND,North Dakota,McHenry,58712 58723,47.8575023,-100.5115274,13
New Town,ND,North Dakota,Mountrail,58763,47.9808483,-102.4901804,1925
Palermo,ND,North Dakota,Mountrail,58769,48.3397413,-102.2290557,74
Parshall,ND,North Dakota,Mountrail,58770,47.9533459,-102.1348915,903
Plaza,ND,North Dakota,Mountrail,58771,48.0258461,-101.9610003,171
Brocket,ND,North Dakota,Ramsey,58321,48.2130558,-98.3570499,57
Crary,ND,North Dakota,Ramsey,58327,48.0708347,-98.6384434,142
Edmore,ND,North Dakota,Ramsey,58330,48.4133374,-98.4542795,182
Hampden,ND,North Dakota,Ramsey,58338,48.5402849,-98.6542903,48
Lawton,ND,North Dakota,Ramsey,58345,48.3027789,-98.3692741,30
Ardoch,ND,North Dakota,Walsh,58261,48.2072096,-97.3422986,67
Edinburg,ND,North Dakota,Walsh,58227,48.4966607,-97.8620378,196
Fairdale,ND,North Dakota,Walsh,58229,48.4908325,-98.2312186,38
Fordville,ND,North Dakota,Walsh,58231,48.2174934,-97.7906451,212
Forest River,ND,North Dakota,Walsh,58233,48.2152672,-97.4681352,125
Grafton,ND,North Dakota,Walsh,58237,48.4122108,-97.410634,4284
Hoople,ND,North Dakota,Walsh,58243,48.5347143,-97.6348091,242
Lankin,ND,North Dakota,Walsh,58250,48.311106,-97.9250945,98
Minto,ND,North Dakota,Walsh,58261,48.2916547,-97.3714652,604
Park River,ND,North Dakota,Walsh,58270,48.3986043,-97.7411999,1403
Pisek,ND,North Dakota,Walsh,58273,48.3108259,-97.7092537,106
Brinsmade,ND,North Dakota,Benson,58351,48.1824994,-99.3240238,35
Esmond,ND,North Dakota,Benson,58332,48.0358398,-99.7620743,100
Knox,ND,North Dakota,Benson,58343,48.3402764,-99.690413,25
Leeds,ND,North Dakota,Benson,58346,48.2888882,-99.4376352,427
Maddock,ND,North Dakota,Benson,58348,47.9625088,-99.530133,382
Minnewaukan,ND,North Dakota,Benson,58351,48.071388,-99.2523572,224
Oberon,ND,North Dakota,Benson,58357,47.923055,-99.2040184,105
Aneta,ND,North Dakota,Nelson,58212,47.6794377,-97.9881509,222
Lakota,ND,North Dakota,Nelson,58344,48.0427767,-98.3362149,672
McVille,ND,North Dakota,Nelson,58254,47.7638843,-98.1773206,349
Pekin,ND,North Dakota,Nelson,58361,47.7908303,-98.3281559,70
Petersburg,ND,North Dakota,Nelson,58272,48.0111053,-98.0014885,192
Emerado,ND,North Dakota,Grand Forks,58228,47.918875,-97.3650837,414
Gilby,ND,North Dakota,Grand Forks,58235,48.0852671,-97.4706383,237
Grand Forks,ND,North Dakota,Grand Forks,58202 58203 58201 58206 58207 58208,47.9252568,-97.0328547,52838
Inkster,ND,North Dakota,Grand Forks,58244,48.1513804,-97.6442523,50
Larimore,ND,North Dakota,Grand Forks,58251,47.9066569,-97.6267539,1346
Manvel,ND,North Dakota,Grand Forks,58256,48.0777615,-97.176465,360
Niagara,ND,North Dakota,Grand Forks,58266,47.996382,-97.8703719,53
Northwood,ND,North Dakota,Grand Forks,58267,47.7341547,-97.5667543,945
Reynolds,ND,North Dakota,Grand Forks,58275,47.6722013,-97.1067515,301
Alexander,ND,North Dakota,McKenzie,58831,47.8430756,-103.642698,223
Arnegard,ND,North Dakota,McKenzie,58835,47.8077966,-103.4410273,115
Butte,ND,North Dakota,McLean,58723,47.8380585,-100.6654187,68
Garrison,ND,North Dakota,McLean,58540,47.6522225,-101.4157165,1453
Max,ND,North Dakota,McLean,58759,47.8211141,-101.2987702,334
Mercer,ND,North Dakota,McLean,58559,47.4905538,-100.7109688,94
Riverdale,ND,North Dakota,McLean,58531 58565,47.497499,-101.371271,205
New Rockford,ND,North Dakota,Eddy,58356,47.6799985,-99.1378952,1391
Bowdon,ND,North Dakota,Wells,58418,47.4697217,-99.7078981,131
Fessenden,ND,North Dakota,Wells,58438,47.6491683,-99.629289,479
Hamberg,ND,North Dakota,Wells,58341,47.7630597,-99.51457,21
Harvey,ND,North Dakota,Wells,58341,47.769723,-99.935404,1783
Hurdsfield,ND,North Dakota,Wells,58451,47.4483295,-99.9284546,84
Goodrich,ND,North Dakota,Sheridan,58444,47.4749954,-100.1262353,98
McClusky,ND,North Dakota,Sheridan,58463,47.4858309,-100.4431839,380
Martin,ND,North Dakota,Sheridan,58758,47.8266671,-100.1151307,78
Dodge,ND,North Dakota,Dunn,58625,47.30612,-102.2043423,87
Dunn Center,ND,North Dakota,Dunn,58626,47.3536235,-102.620462,146
Halliday,ND,North Dakota,Dunn,58636,47.3544535,-102.3360118,188
Killdeer,ND,North Dakota,Dunn,58640,47.3719582,-102.7540751,751
Finley,ND,North Dakota,Steele,58230,47.5141578,-97.8359252,445
Hope,ND,North Dakota,Steele,58046,47.3222102,-97.7223196,258
Luverne,ND,North Dakota,Steele,58056,47.2510998,-97.9348215,31
Hannaford,ND,North Dakota,Griggs,58448,47.3133252,-98.1864847,131
Buxton,ND,North Dakota,Traill,58218,47.601924,-97.0973081,323
Galesburg,ND,North Dakota,Traill,58035,47.2699845,-97.4064772,108
Hatton,ND,North Dakota,Traill,58240,47.6397087,-97.4534224,777
Hillsboro,ND,North Dakota,Traill,58045,47.4038683,-97.0620308,1603
Mayville,ND,North Dakota,Traill,58257,47.4980408,-97.3245354,1858
Portland,ND,North Dakota,Traill,58274,47.4983191,-97.3703689,606
Carrington,ND,North Dakota,Foster,58421,47.4497201,-99.1262234,2065
Glenfield,ND,North Dakota,Foster,58443,47.4533296,-98.5673223,91
Grace City,ND,North Dakota,Foster,58445,47.5513859,-98.8053836,63
McHenry,ND,North Dakota,Foster,58464,47.576108,-98.5914904,56
Golden Valley,ND,North Dakota,Mercer,58541,47.2908418,-102.0646172,182
Hazen,ND,North Dakota,Mercer,58545,47.2944481,-101.622665,2411
Pick City,ND,North Dakota,Mercer,58545,47.5113887,-101.4537737,123
Caribou,ME,Maine,Aroostook,4736,46.8605982,-68.0119714,8189
Presque Isle,ME,Maine,Aroostook,4769,46.681153,-68.0158616,9692
Medora,ND,North Dakota,Billings,58645,46.9139028,-103.5243536,112
Golva,ND,North Dakota,Golden Valley,58632,46.7341788,-103.9863168,61
Dawson,ND,North Dakota,Kidder,58428,46.8685954,-99.751495,61
Pettibone,ND,North Dakota,Kidder,58475,47.1191585,-99.5195561,70
Robinson,ND,North Dakota,Kidder,58478,47.1427682,-99.7812206,37
Buchanan,ND,North Dakota,Stutsman,58420,47.0624924,-98.8289956,90
Jamestown,ND,North Dakota,Stutsman,58401 58402 58405,46.9105438,-98.7084357,15427
Kensal,ND,North Dakota,Stutsman,58455,47.3008296,-98.7334377,163
Medina,ND,North Dakota,Stutsman,58467,46.8938758,-99.2998334,308
Montpelier,ND,North Dakota,Stutsman,58472,46.7002601,-98.5900955,87
Pingree,ND,North Dakota,Stutsman,58476,47.163328,-98.9070537,60
Lincoln,ND,North Dakota,Burleigh,58504,46.7624938,-100.7004025,2406
Regan,ND,North Dakota,Burleigh,58477,47.1580494,-100.528177,43
Valley City,ND,North Dakota,Barnes,58072,46.9233129,-98.0031547,6585
Dazey,ND,North Dakota,Barnes,58429,47.1905449,-98.2017618,104
Fingal,ND,North Dakota,Barnes,58031,46.7605329,-97.7903815,97
Kathryn,ND,North Dakota,Barnes,58049,46.6780313,-97.968712,52
Leal,ND,North Dakota,Barnes,58479,47.1052665,-98.3173158,20
Litchville,ND,North Dakota,Barnes,58461,46.6535903,-98.1942616,172
Nome,ND,North Dakota,Barnes,58062,46.6777529,-97.8103807,62
Oriska,ND,North Dakota,Barnes,58063,46.9305334,-97.7889918,118
Pillsbury,ND,North Dakota,Barnes,58046 58065,47.2069306,-97.7906569,12
Alice,ND,North Dakota,Cass,58027 58031,46.7619199,-97.5559299,40
Amenia,ND,North Dakota,Cass,58004,47.0049744,-97.2189763,94
Argusville,ND,North Dakota,Cass,58005,47.0521927,-96.9345275,475
Arthur,ND,North Dakota,Cass,58006,47.1041435,-97.2181431,337
Briarwood,ND,North Dakota,Cass,58104,46.7860752,-96.7970272,73
Buffalo,ND,North Dakota,Cass,58011,46.9196986,-97.5495386,188
Casselton,ND,North Dakota,Cass,58012,46.9005292,-97.2111999,2329
Davenport,ND,North Dakota,Cass,58021,46.7141358,-97.0700892,252
Fargo,ND,North Dakota,Cass,58102 58103 58105 58104 58106 58107 58108 58109 58121 58122 58124 58125 58126,46.8771863,-96.7898034,105549
Frontier,ND,North Dakota,Cass,58104,46.8005206,-96.8331391,214
Gardner,ND,North Dakota,Cass,58036,47.1471966,-96.9678613,74
Grandin,ND,North Dakota,Cass,58038,47.2369226,-97.001473,173
Harwood,ND,North Dakota,Cass,58042,46.9794115,-96.8806377,718
Horace,ND,North Dakota,Cass,58047,46.7588553,-96.9036971,2430
Hunter,ND,North Dakota,Cass,58048,47.1905344,-97.2170321,261
Kindred,ND,North Dakota,Cass,58051,46.6485779,-97.0170323,692
Leonard,ND,North Dakota,Cass,58052,46.6519149,-97.2456467,223
Mapleton,ND,North Dakota,Cass,58059,46.8891375,-97.0525872,762
North River,ND,North Dakota,Cass,58102,46.9507978,-96.8025805,56
Page,ND,North Dakota,Cass,58064,47.1597055,-97.5712038,232
Prairie Rose,ND,North Dakota,Cass,58104,46.8174651,-96.8356389,73
Reile's Acres,ND,North Dakota,Cass,58102,46.9269129,-96.8664846,513
Hill City,MN,Minnesota,Aitkin,55748,46.9932847,-93.5985615,633
Dickinson,ND,North Dakota,Stark,58601 58602,46.8791756,-102.7896242,17787
Gladstone,ND,North Dakota,Stark,58630,46.8608403,-102.5679579,239
Richardton,ND,North Dakota,Stark,58652,46.8838957,-102.3157292,529
Almont,ND,North Dakota,Morton,58520,46.7252795,-101.5026443,122
Flasher,ND,North Dakota,Morton,58535,46.4561128,-101.2326433,232
Glen Ullin,ND,North Dakota,Morton,58631,46.8150051,-101.829877,807
Hebron,ND,North Dakota,Morton,58638,46.9005626,-102.0454416,747
Mandan,ND,North Dakota,Morton,58554,46.8266603,-100.8895762,18331
New Salem,ND,North Dakota,Morton,58563,46.844999,-101.4112545,946
Carson,ND,North Dakota,Grant,58529,46.4177836,-101.5648653,293
Elgin,ND,North Dakota,Grant,58533,46.4038957,-101.8459791,642
Leith,ND,North Dakota,Grant,58529,46.3583395,-101.6365298,16
New Leipzig,ND,North Dakota,Grant,58562,46.3761171,-101.9398717,221
Braddock,ND,North Dakota,Emmons,58524,46.5644311,-100.0909421,21
Hague,ND,North Dakota,Emmons,58542,46.0285994,-99.9956683,71
Hazelton,ND,North Dakota,Emmons,58544,46.4847126,-100.2795573,235
Linton,ND,North Dakota,Emmons,58552,46.2666567,-100.2328916,1097
Fredonia,ND,North Dakota,Logan,58440,46.3288597,-99.0956648,46
Gackle,ND,North Dakota,Logan,58442,46.6258113,-99.1420541,310
Napoleon,ND,North Dakota,Logan,58561,46.5034317076,-99.7620110415,792
Amidon,ND,North Dakota,Slope,58620,46.4822327,-103.3218466,20
Marmarth,ND,North Dakota,Slope,58643,46.2950062,-103.9207615,136
Verona,ND,North Dakota,LaMoure,58490,46.3638572,-98.0723229,85
Dickey,ND,North Dakota,LaMoure,58431,46.5369203,-98.4678716,42
Edgeley,ND,North Dakota,LaMoure,58433,46.3591377,-98.7156564,563
Jud,ND,North Dakota,LaMoure,58454,46.5260853,-98.8956607,72
Kulm,ND,North Dakota,LaMoure,58456,46.3019144,-98.9481624,354
LaMoure,ND,North Dakota,LaMoure,58458,46.3571915,-98.2945434,889
Marion,ND,North Dakota,LaMoure,58466,46.6072008,-98.3323162,133
Mott,ND,North Dakota,Hettinger,58646,46.3725031,-102.3271061,721
New England,ND,North Dakota,Hettinger,58647,46.5391751,-102.8682231,600
Regent,ND,North Dakota,Hettinger,58650,46.4216712,-102.555719,160
Elliott,ND,North Dakota,Ransom,58054,46.4021898,-97.8148228,25
Enderlin,ND,North Dakota,Ransom,58027,46.623028,-97.6014862,886
Fort Ransom,ND,North Dakota,Ransom,58033,46.5208041,-97.9262128,77
Lisbon,ND,North Dakota,Ransom,58054,46.4416344,-97.6812096,2154
Wahpeton,ND,North Dakota,Richland,58075 58076 58074,46.2652367,-96.6059072,7766
Dwight,ND,North Dakota,Richland,58075,46.3041254,-96.7381329,82
Fairmount,ND,North Dakota,Richland,58030,46.0549591,-96.6022941,367
Great Bend,ND,North Dakota,Richland,58075,46.1538473,-96.8020228,60
Hankinson,ND,North Dakota,Richland,58041,46.069681,-96.9017476,919
Lidgerwood,ND,North Dakota,Richland,58053,46.0755158,-97.1517554,652
Mantador,ND,North Dakota,Richland,58058,46.1652369,-96.9773059,64
Mooreton,ND,North Dakota,Richland,58061,46.26857,-96.8761923,197
Fort Yates,ND,North Dakota,Sioux,58538,46.0869408,-100.6301271,184
Pine City,MN,Minnesota,Pine,55063,45.8260672,-92.9685423,3123
Bangor,ME,Maine,Penobscot,04401 04402,44.8011821,-68.7778138,33039
Brewer,ME,Maine,Penobscot,4412,44.7967379,-68.7614246,9482
Old Town,ME,Maine,Penobscot,04468 04489,44.9342349,-68.6453092,7840
Bucyrus,ND,North Dakota,Adams,58639,46.0638952,-102.7882137,27
Haynes,ND,North Dakota,Adams,58639,45.9741705,-102.4709914,23
Hettinger,ND,North Dakota,Adams,58639,46.0013946,-102.6368239,1226
Reeder,ND,North Dakota,Adams,58649,46.1058393,-102.9454423,162
Forman,ND,North Dakota,Sargent,58032,46.1077418,-97.6364861,504
Gwinner,ND,North Dakota,Sargent,58040,46.2257963,-97.6625959,753
Havana,ND,North Dakota,Sargent,58043,45.95024,-97.618988,71
Milnor,ND,North Dakota,Sargent,58060,46.2591278,-97.4562022,653
Venturia,ND,North Dakota,McIntosh,58413,45.9985882,-99.5462279,10
Lehr,ND,North Dakota,McIntosh,58460,46.2796939,-99.3523336,80
Ellendale,ND,North Dakota,Dickey,58436,46.0027502,-98.5270458,1394
Forbes,ND,North Dakota,Dickey,58439,45.9435847,-98.7820478,53
Fullerton,ND,North Dakota,Dickey,58441,46.1652468,-98.4270443,54
Ludden,ND,North Dakota,Dickey,58474,46.0085815,-98.1253803,23
Monango,ND,North Dakota,Dickey,58436,46.1727475,-98.5945448,36
Oakes,ND,North Dakota,Dickey,58474,46.1385787,-98.0903794,1856
Bowman,ND,North Dakota,Bowman,58623,46.1830618,-103.3949061,1650
Gascoyne,ND,North Dakota,Bowman,58653,46.1183391,-103.0798921,16
Rhame,ND,North Dakota,Bowman,58651,46.2325063,-103.6554735,169
Mound City,SD,South Dakota,Campbell,57646,45.7252697,-100.0684524,71
Claremont,SD,South Dakota,Brown,57432,45.6718976,-98.0156602,127
Columbia,SD,South Dakota,Brown,57433,45.6130241,-98.3125979,136
Claire City,SD,South Dakota,Roberts,57224,45.8571812,-97.1036974,76
Corona,SD,South Dakota,Roberts,57227,45.3338521,-96.7631231,109
New Effington,SD,South Dakota,Roberts,57255,45.8563481,-96.9203579,256
Ortley,SD,South Dakota,Roberts,57273 57256 57266,45.332183,-97.1956377,65
Peever,SD,South Dakota,Roberts,57257,45.5430163,-96.9547996,168
Center City,MN,Minnesota,Chisago,55012,45.3938525,-92.8166024,628
Chisago City,MN,Minnesota,Chisago,55013,45.3735757,-92.8899376,4967
Rush City,MN,Minnesota,Chisago,55069,45.6855145,-92.9654903,3079
Calais,ME,Maine,Washington,4619,45.1889633,-67.2786039,3123
Eastport,ME,Maine,Washington,4631,44.9061906,-66.9899785,1331
Bowdle,SD,South Dakota,Edmunds,57428,45.4530375,-99.6540068,502
Pierpont,SD,South Dakota,Day,57468,45.4955082,-97.8312098,135
Eagle Butte,SD,South Dakota,Dewey,57625,45.0024802,-101.233485,1318
Dupree,SD,South Dakota,Ziebach,57623,45.0474815,-101.6009896,525
Lena,WI,Wisconsin,Oconto,54139,44.9511001,-88.0467693,564
Grove City,MN,Minnesota,Meeker,56243,45.1505185,-94.6830533,635
Lake Hallie,WI,Wisconsin,Chippewa,54729 54703,44.8757938,-91.4407146,6448
Boyd,WI,Wisconsin,Chippewa,54726,44.9519088,-91.0348656,552
Ellsworth,ME,Maine,Hancock,4605,44.5434095,-68.4194642,7741
Chelsea,SD,South Dakota,Faulk,57465,45.1685864,-98.7395464,27
Cresbard,SD,South Dakota,Faulk,57435,45.1699736,-98.9484416,104
Onaka,SD,South Dakota,Faulk,57466,45.1927553,-99.4662266,15
Orient,SD,South Dakota,Faulk,57467,44.9002537,-99.0892738,63
Conde,SD,South Dakota,Spink,57434,45.1571854,-98.0975923,140
Doland,SD,South Dakota,Spink,57436,44.8958034,-98.1006465,180
Northville,SD,South Dakota,Spink,57465,45.1555313,-98.5792629,143
Newell,SD,South Dakota,Butte,57760,44.7147082,-103.4207436,603
Nisland,SD,South Dakota,Butte,57762,44.6730407,-103.5535258,232
Boyceville,WI,Wisconsin,Dunn,54725,45.0435742,-92.0410145,1086
Clark,SD,South Dakota,Clark,57225,44.877743,-97.7331411,1139
Naples,SD,South Dakota,Clark,57271,44.7716324,-97.5117492,41
Clara City,MN,Minnesota,Chippewa,56222,44.9549593,-95.3664045,1360
Bowler,WI,Wisconsin,Shawano,54416,44.8630295,-88.9820527,302
Plattsburgh,NY,New York,Clinton,12901 12903,44.6994873,-73.4529124,19989
Ogdensburg,NY,New York,Saint Lawrence,13669,44.6942291,-75.4863364,11128
Clear Lake,SD,South Dakota,Deuel,57226,44.7457977,-96.6825584,1273
Onida,SD,South Dakota,Sully,57564,44.7080379,-100.059845,658
Belfast,ME,Maine,Waldo,4915,44.4259092,-69.0064234,6668
Philip,SD,South Dakota,Haakon,57567,44.0394329,-101.6651441,779
Augusta,ME,Maine,Kennebec,04330 04332 04333 04336 04338,44.3106241,-69.7794897,19136
Gardiner,ME,Maine,Kennebec,04345 04359,44.2300698,-69.7753222,5800
Hallowell,ME,Maine,Kennebec,4347,44.2859022,-69.7908786,2381
Waterville,ME,Maine,Kennebec,04901 04903,44.5520105,-69.6317121,15722
Zumbrota,MN,Minnesota,Goodhue,55992,44.294132,-92.6690806,3252
Hobart,WI,Wisconsin,Brown,54155 54115 54313,44.499248,-88.149862,6182
Bellevue,WI,Wisconsin,Brown,54115 54311,44.44416,-87.920099,14570
Suamico,WI,Wisconsin,Brown,54173 54313,44.6319369,-88.0392708,11346
Embarrass,WI,Wisconsin,Waupaca,54929 54933,44.6655362,-88.7073234,404
Central City,SD,South Dakota,Lawrence,57754,44.3658176,-103.772421,134
Deadwood,SD,South Dakota,Lawrence,57785 57732,44.376651,-103.7296416,1270
Pierre,SD,South Dakota,Hughes,57501,44.3683156,-100.3509665,13646
De Smet,SD,South Dakota,Kingsbury,57231,44.3874697,-97.5503541,1089
Oldham,SD,South Dakota,Kingsbury,57051,44.2274712,-97.3078459,133
Whittemore,MI,Michigan,Iosco,48770,44.2336299,-83.8030424,384
West Branch,MI,Michigan,Ogemaw,48661,44.2764083,-84.2386132,2139
New Underwood,SD,South Dakota,Pennington,57761,44.0933202,-102.8362824,660
Auburn,ME,Maine,Androscoggin,04210 04211 04212 04223,44.0978509,-70.2311655,23055
Lewiston,ME,Maine,Androscoggin,04240 04241 04243,44.100351,-70.2147764,36592
Lake City,MN,Minnesota,Wabasha,55041,44.4494119,-92.2668435,5063
Rockland,ME,Maine,Knox,4841,44.1036915,-69.1089294,7297
Oacoma,SD,South Dakota,Lyman,57365,43.7961053,-99.3956571,451
Colman,SD,South Dakota,Moody,57017,43.9824719,-96.8144974,594
Nunda,SD,South Dakota,Lake,57050,44.1621934,-97.0189491,43
Minnesota City,MN,Minnesota,Winona,55959,44.0938521,-91.7495959,204
Portland,ME,Maine,Cumberland,04102 04101 04108 04109 04019 04103 04104 04112 04122 04123 04124,43.661471,-70.2553259,66194
South Portland,ME,Maine,Cumberland,04106 04116,43.6414716,-70.2408811,25002
Westbrook,ME,Maine,Cumberland,04092 04098,43.6770252,-70.3711617,17494
Draper,SD,South Dakota,Jones,57531,43.9260994,-100.5404127,82
Murdo,SD,South Dakota,Jones,57559,43.8883224,-100.7129143,488
Bath,ME,Maine,Sagadahoc,4530,43.9106353,-69.8206023,8514
Little Falls,NY,New York,Herkimer,13365,43.0434039,-74.8595958,4946
Cottonwood,SD,South Dakota,Jackson,57775 57567,43.9669341,-101.9059831,9
Endeavor,WI,Wisconsin,Marquette,53930,43.7158123,-89.4662326,468
Chamberlain,SD,South Dakota,Brule,57325 57326,43.810828,-99.3306556,2387
Custer,SD,South Dakota,Custer,57730,43.7666507,-103.5988057,2067
Mount Vernon,SD,South Dakota,Davison,57363,43.7105415,-98.2603594,462
Colton,SD,South Dakota,Minnehaha,57018,43.7860862,-96.9275557,687
Crooks,SD,South Dakota,Minnehaha,57020,43.6646974,-96.8108859,1269
Dell Rapids,SD,South Dakota,Minnehaha,57022,43.8260842,-96.7061609,3633
Biddeford,ME,Maine,York,04005 04006 04007,43.4925843,-70.4533844,21277
Saco,ME,Maine,York,4072,43.5009176,-70.4428286,18482
White Cloud,MI,Michigan,Newaygo,49349,43.5502974,-85.7719971,1408
Glens Falls,NY,New York,Warren,12801 12820,43.3095164,-73.6440058,14700
Colome,SD,South Dakota,Tripp,57528,43.2605567,-99.7151134,296
Fulton,NY,New York,Oswego,13069,43.3228462,-76.4171585,11896
Oswego,NY,New York,Oswego,13126,43.4553461,-76.5104973,18142
Rome,NY,New York,Oneida,13441 13440 13308 13442 13449,43.2128473,-75.4557304,33725
Sherrill,NY,New York,Oneida,13461,43.0736798,-75.5982354,3071
Zilwaukee,MI,Michigan,Saginaw,48604,43.4764138,-83.9205291,1658
Algona,IA,Iowa,Kossuth,50511,43.0699663,-94.233019,5560
Dante,SD,South Dakota,Charles Mix,57329,43.0386053,-98.1842432,84
Pickstown,SD,South Dakota,Charles Mix,57367,43.0672168,-98.5320265,201
Chancellor,SD,South Dakota,Turner,57015,43.3722033,-96.986997,264
Davis,SD,South Dakota,Turner,57021,43.2574838,-96.9956061,85
Dolton,SD,South Dakota,Turner,57319,43.4908161,-97.3856189,37
Parker,SD,South Dakota,Turner,57053,43.3974827,-97.1364454,1022
Dimock,SD,South Dakota,Hutchinson,57331,43.4741517,-97.9856277,125
Olivet,SD,South Dakota,Hutchinson,57052,43.240824,-97.6753449,74
Parkston,SD,South Dakota,Hutchinson,57366,43.3988755,-97.9836831,1508
Corsica,SD,South Dakota,Douglas,57328,43.4252676,-98.4073023,592
Delmont,SD,South Dakota,Douglas,57330,43.2674898,-98.1622978,234
Dallas,SD,South Dakota,Gregory,57529,43.2361121,-99.517053,120
Oelrichs,SD,South Dakota,Fall River,57763,43.1788648,-103.2307532,126
Whitehall,MI,Michigan,Muskegon,49461,43.4100107,-86.3486792,2706
Auburn,NY,New York,Cayuga,13021 13024 13022,42.9317335,-76.5660529,27687
Mechanicville,NY,New York,Saratoga,12118,42.9028547,-73.6873405,5196
Saratoga Springs,NY,New York,Saratoga,12866,43.0831301,-73.7845651,26586
